Kaardi nr	Pealkiri	Kaarditüüp	Kaardisisu	The title in English
99	PÄEV	Sümbol	Sõnavara	A day
100	PÄEVI	Sümbol	Morfoloogia	Days (PART.PL)
101	RÕHTAED	Sümbol	Sõnavara	A wooden fence
102	SAADA (inf.)	Sümbol	Morfoloogia	To get (INFINITIVE)
103	SAJA (:SADA)	Sümbol	Morfoloogia	Hundred (GEN)
104	SAJAB	Sümbol	Morfoloogia	[It] rains (PERS.IND.PR.SG.3)
105	SAUNA (gen.)	Sümbol	Morfoloogia	A sauna (GEN)
106	SEAL	Sümbol	Sõnavara	There
107	SEES	Sümbol	Sõnavara	Inside
108	SIIA	Sümbol	Sõnavara	Here
109	SINNA	Sümbol	Sõnavara	There (ILL)
110	SISEKADU jm	Piirjoontega	Morfoloogia	Syncope
111	SITKMED	Sümbol	Sõnavara	
112	SOHU	Sümbol	Morfoloogia	[Into] the swamp (ILL)
113	SUVI	Sümbol	Sõnavara	Summer
114	TALV	Sümbol	Sõnavara	Winter
115	TEHA	Sümbol	Morfoloogia	To do (INFINITIVE)
116	TEIVAS	Sümbol	Sõnavara	A pole
117	-tk-	Piirjoontega	Morfoloogia	The interfix -tk-
118	TULDE	Sümbol	Morfoloogia	[Into] the fire (ILL)
119	UNGAS	Sümbol	Sõnavara	A triangular space between the roof and the sealing of a thatched roof
120	UNUSTAMA	Sümbol	Sõnavara	To forget (SUPINE)
121	VÕTSID (pl.3.pers)	Sümbol	Morfoloogia	[They] took (PERS.IND.IPF.PL.3)
122	VÕÕRAS	Sümbol	Sõnavara	A stranger
123	VÖÖSID	Sümbol	Morfoloogia	Belts (PART.PL)
124	ÕHTU	Sümbol	Sõnavara	Evening
125	ÖÖBIK	Sümbol	Sõnavara	Nightingale (NOM)
